flight_uuid|memo|check_date
3ba1d556-4b1e-4c83-8941-245c8f63f630|費用總計 NT$10,799。此航班由台灣虎航提供服務。在 06:30從台北桃園出發，並在 11:00抵達函館。直飛航班，飛行時間為 3 小時 30 分鐘。票價包含稅費與服務費。|2023-08-06
66074491-9108-4f7a-a926-5b799fb97aa1|費用總計 NT$12,718。此航班由日本航空提供服務。在 10:00從台北桃園出發，並在 19:05抵達函館。此航班須停留 1 次，在東京轉機，飛行時間為 8 小時 5 分鐘。 你須要在東京轉機。票價包含稅費與服務費。|2023-08-06
e567e397-6c77-46b4-bff8-9b014a252b50|費用總計 NT$13,113。此航班由日本航空提供服務。在 09:10從台北松山出發，並在 19:05抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 8 小時 55 分鐘。票價包含稅費與服務費。|2023-08-06
37ff10dd-ba02-4ef8-844e-85ce62436fd3|費用總計 NT$10,515。此航班由樂桃, 日本航空提供服務。在 09:15從台北桃園出發，並在 19:05抵達函館。此航班須停留 1 次，在東京轉機，飛行時間為 8 小時 50 分鐘。 你須要在東京轉機。票價包含稅費與服務費。|2023-08-06
cdc04476-8d04-4128-a9f7-472aabba76ad|費用總計 NT$12,454。此航班由台灣虎航, ANA Wings提供服務。在 09:00從台北桃園出發，並在 17:10抵達函館。此航班須停留 1 次，在名古屋中部國際轉機，飛行時間為 7 小時 10 分鐘。票價包含稅費與服務費。|2023-08-06
755b70c4-c2bc-4fe7-b501-3946934bb5d3|費用總計 NT$11,741。此航班由樂桃, 全日空提供服務。在 09:15從台北桃園出發，並在 18:55抵達函館。此航班須停留 1 次，在東京轉機，飛行時間為 8 小時 40 分鐘。 你須要在東京轉機。票價包含稅費與服務費。|2023-08-06
0724b0e1-cd3f-4aed-b30c-080a362b9247|費用總計 NT$10,491。此航班由台灣虎航, Hokkaido Air System提供服務。在 06:20從台北桃園出發，並在 16:15抵達函館。此航班須停留 1 次，在札幌轉機，飛行時間為 8 小時 55 分鐘。 你須要在札幌轉機。票價包含稅費與服務費。|2023-08-06
52ba1c02-2d36-4f66-988a-190f03f3b6ba|費用總計 NT$18,092。此航班由長榮航空, 日本航空提供服務。在 07:20從台北松山出發，並在 14:15抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 5 小時 55 分鐘。票價包含稅費與服務費。|2023-08-06
6fe63eb0-5d24-4931-b745-7fde0a537bd2|費用總計 NT$9,595。此航班由台灣虎航, Hokkaido Air System提供服務。在 06:20從台北桃園出發，並在 20:00抵達函館。此航班須停留 1 次，在札幌轉機，飛行時間為 12 小時 40 分鐘。 你須要在札幌轉機。票價包含稅費與服務費。|2023-08-06
f312a1b7-b0ae-423e-84d2-394ce473ab42|費用總計 NT$15,960。此航班由中華航空, 全日空提供服務。在 09:00從台北松山出發，並在 18:55抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 8 小時 55 分鐘。票價包含稅費與服務費。|2023-08-06
c40bd93b-1a55-4153-810a-fa65fef61c89|費用總計 NT$16,088。此航班由中華航空, 全日空提供服務。在 09:00從台北桃園出發，並在 18:55抵達函館。此航班須停留 1 次，在東京轉機，飛行時間為 8 小時 55 分鐘。 你須要在東京轉機。票價包含稅費與服務費。|2023-08-06
