flight_uuid|single_price|check_date
3ba1d556-4b1e-4c83-8941-245c8f63f630|10799|2023-08-06
66074491-9108-4f7a-a926-5b799fb97aa1|12718|2023-08-06
e567e397-6c77-46b4-bff8-9b014a252b50|13113|2023-08-06
37ff10dd-ba02-4ef8-844e-85ce62436fd3|10515|2023-08-06
cdc04476-8d04-4128-a9f7-472aabba76ad|12454|2023-08-06
755b70c4-c2bc-4fe7-b501-3946934bb5d3|11741|2023-08-06
0724b0e1-cd3f-4aed-b30c-080a362b9247|10491|2023-08-06
52ba1c02-2d36-4f66-988a-190f03f3b6ba|18092|2023-08-06
6fe63eb0-5d24-4931-b745-7fde0a537bd2|9595|2023-08-06
f312a1b7-b0ae-423e-84d2-394ce473ab42|15960|2023-08-06
c40bd93b-1a55-4153-810a-fa65fef61c89|16088|2023-08-06
58482fb5-3cb2-43aa-93dc-dba4a7704868|25672|2023-08-06
1f233933-7d35-435c-8dc3-36bc322c409e|17563|2023-08-06
f6a94db0-927d-44e6-99e9-48be8ca9f858|15651|2023-08-06
b47259c2-d88f-4f3d-a555-b260a56558ca|12947|2023-08-06
e6d85e70-41dc-41f9-8ab2-1cf3e21320b4|24005|2023-08-06
16821beb-ed6e-4e5f-ab8e-b35aa30a0298|25809|2023-08-06
74035899-64a9-4406-baf9-124671f7bce5|25672|2023-08-06
acbb7083-fbfc-495d-894d-3764116345aa|23545|2023-08-06
a0c06924-6b9c-4ce7-b9bd-aacf44382cf7|12972|2023-08-06
fc2bf483-aa95-41ee-b6cb-87486b0c6a0f|25736|2023-08-06
78d8fb86-9687-49df-afd1-b278f7cdd049|25672|2023-08-06
c2a37ba9-f112-40e2-86c7-286c1d7fb1ca|25794|2023-08-06
09e54bb3-6ef6-4272-b1d6-82ac89d046f3|15232|2023-08-06
d730d265-7029-4040-b473-3021995e9c43|12541|2023-08-06
69fdb988-5732-4a96-b7e1-73ea07f6e6a6|25711|2023-08-06
0ff57bdc-c861-403f-a131-3f72416417e2|12881|2023-08-06
3eb751d6-1ec5-46c0-bcb1-952571f59825|35038|2023-08-06
2afda189-f152-4268-a4d7-e3c70f06c1f3|15160|2023-08-06
a0757a2a-fbde-4f6e-a690-ed9996b7693d|19745|2023-08-06
96417ba9-6c8a-4444-a847-287e31eaabdf|32808|2023-08-06
0c99b599-fac0-4880-8f3f-29311215c3f7|34376|2023-08-06
d09fba3f-cb61-47e6-a5fc-16d54be854a1|15527|2023-08-06
081ecc29-9c96-40e6-bd82-1e9fac18db25|31765|2023-08-06
c7a4f5a6-c051-4718-9cc5-eb79c4549544|15651|2023-08-06
41bc434a-81cd-4a6a-9f46-754c8cf46513|19513|2023-08-06
7f631140-4ffc-42de-984a-f954f801618d|27613|2023-08-06
967ab8de-d940-416d-ab7e-e2cb1c98449f|17126|2023-08-06
44da9139-cc80-4acf-a489-d4026c89ea94|15997|2023-08-06
159c967d-d298-4b61-8dd2-ca5bb17bd43f|15431|2023-08-06
65a9a0a3-e4fb-429f-9a45-66c6c3e50feb|26037|2023-08-06
4c4efc80-32ce-4594-ae6c-62d775a8c033|39291|2023-08-06
0ff1945e-ded1-44eb-a3ef-cc02d5c3f0ad|13160|2023-08-06
dad6d94b-a8c8-4aad-b645-2ba892912407|14779|2023-08-06
d5379d92-b4ad-4e32-9930-bd3bc24afb57|44015|2023-08-06
565708a0-6cc6-4b2b-a912-c0d54c269a6b|25672|2023-08-06
bfa9a9d1-045e-4d01-b648-175498803c82|17042|2023-08-06
eb72e5cf-f21a-4aac-bbee-f25cd9c65b5b|17383|2023-08-06
97240722-548c-42bf-aac3-5bd4a04d3228|45109|2023-08-06
3c430be5-e114-40dd-8b0b-2fa2a73f255e|19590|2023-08-06
7dfedb58-9f3d-4ef9-ba14-eb832c470093|42249|2023-08-06
b6420d90-45d6-47c2-9476-1bdf4f8bf658|17040|2023-08-06
d8693084-484a-407e-be3e-65037b3a070c|38361|2023-08-06
654a2c30-f855-4608-8b7d-6b2a1fe96ea7|20190|2023-08-06
106e5e72-4acd-4360-ab2a-82b1b67e2dbe|43622|2023-08-06
4a0fcd68-dee1-4855-a0fe-3b2ca719d8f2|39406|2023-08-06
af6d870e-69d5-41c0-9e5e-1ff13d8ca238|26616|2023-08-06
0c4fc7bd-220a-4008-af8e-28f02f9df519|33442|2023-08-06
73b9536f-18ab-4c78-8687-9c430702903c|45600|2023-08-06
a8064f92-60c6-48a6-9bd5-e406855c7a2a|47293|2023-08-06
4b4f98c0-d952-4975-b8b8-fd08f68443f8|21750|2023-08-06
2cd4c839-327d-402c-963c-0ddf33b551d1|26487|2023-08-06
f885a0f3-5853-42cc-8071-29b91d032f86|44555|2023-08-06
9fcbbc97-8992-4edf-b864-5583ea68939e|22377|2023-08-06
e9550e10-16f4-45c0-bd27-57ff5954e509|25867|2023-08-06
651a9d0c-087a-4fd8-a109-9eedf0f4ef5e|39057|2023-08-06
796d4d17-a156-428e-8ee3-318a5efc9ecc|26898|2023-08-06
73e1bfbb-19be-425b-8854-e423b87736ea|40682|2023-08-06
9dbc3d1e-ef9d-464d-92aa-15dda4b214c4|27786|2023-08-06
e34439e7-ccd2-4676-b37f-1ca4748d1e2d|16484|2023-08-06
af855f71-4c12-48c9-8704-98e6607756ae|44196|2023-08-06
e7dbfcd4-8e0d-425f-8351-4bc123fb02ec|26849|2023-08-06
aecdebdd-f514-47e0-8060-f913f6753033|45109|2023-08-06
fbf75317-b1c7-4b73-9d08-01b81c237222|51809|2023-08-06
c9732276-b857-4ac2-9c47-d751d1774483|58158|2023-08-06
795e5922-4117-486b-8718-184ba8c479ba|66480|2023-08-06
