flight_uuid|company|trans_plan|trans_cnt|takeoff_time|land_time|takeoff_location|land_location|spend_time|spend_hr|spend_min|check_date
3ba1d556-4b1e-4c83-8941-245c8f63f630|台灣虎航|['直飛']|0|2023-09-04 06:30:00|2023-09-04 10:00:00|TPE|HKD|3 小時 30 分鐘|3|30|2023-08-06
66074491-9108-4f7a-a926-5b799fb97aa1|日本航空|['TYO']|1|2023-09-04 10:00:00|2023-09-04 18:05:00|TPE|HKD|8 小時 05 分鐘|8|5|2023-08-06
e567e397-6c77-46b4-bff8-9b014a252b50|日本航空|['HND']|1|2023-09-04 09:10:00|2023-09-04 18:05:00|TSA|HKD|8 小時 55 分鐘|8|55|2023-08-06
37ff10dd-ba02-4ef8-844e-85ce62436fd3|樂桃 + 日本航空|['TYO']|1|2023-09-04 09:15:00|2023-09-04 18:05:00|TPE|HKD|8 小時 50 分鐘|8|50|2023-08-06
cdc04476-8d04-4128-a9f7-472aabba76ad|台灣虎航 + 全日空|['NGO']|1|2023-09-04 09:00:00|2023-09-04 16:10:00|TPE|HKD|7 小時 10 分鐘|7|10|2023-08-06
755b70c4-c2bc-4fe7-b501-3946934bb5d3|樂桃 + 全日空|['TYO']|1|2023-09-04 09:15:00|2023-09-04 17:55:00|TPE|HKD|8 小時 40 分鐘|8|40|2023-08-06
0724b0e1-cd3f-4aed-b30c-080a362b9247|台灣虎航 + 日本航空|['SPK']|1|2023-09-04 06:20:00|2023-09-04 15:15:00|TPE|HKD|8 小時 55 分鐘|8|55|2023-08-06
52ba1c02-2d36-4f66-988a-190f03f3b6ba|長榮航空 + 日本航空|['HND']|1|2023-09-04 07:20:00|2023-09-04 13:15:00|TSA|HKD|5 小時 55 分鐘|5|55|2023-08-06
6fe63eb0-5d24-4931-b745-7fde0a537bd2|台灣虎航 + 日本航空|['SPK']|1|2023-09-04 06:20:00|2023-09-04 19:00:00|TPE|HKD|12 小時 40 分鐘|12|40|2023-08-06
f312a1b7-b0ae-423e-84d2-394ce473ab42|中華航空 + 全日空|['HND']|1|2023-09-04 09:00:00|2023-09-04 17:55:00|TSA|HKD|8 小時 55 分鐘|8|55|2023-08-06
c40bd93b-1a55-4153-810a-fa65fef61c89|中華航空 + 全日空|['TYO']|1|2023-09-04 09:00:00|2023-09-04 17:55:00|TPE|HKD|8 小時 55 分鐘|8|55|2023-08-06
58482fb5-3cb2-43aa-93dc-dba4a7704868|全日空|['HND']|1|2023-09-04 07:20:00|2023-09-04 13:25:00|TSA|HKD|6 小時 05 分鐘|6|5|2023-08-06
1f233933-7d35-435c-8dc3-36bc322c409e|中華航空 + 日本航空|['TYO']|1|2023-09-04 09:00:00|2023-09-04 18:05:00|TPE|HKD|9 小時 05 分鐘|9|5|2023-08-06
f6a94db0-927d-44e6-99e9-48be8ca9f858|長榮航空 + 全日空|['HND']|1|2023-09-04 07:20:00|2023-09-04 17:55:00|TSA|HKD|10 小時 35 分鐘|10|35|2023-08-06
b47259c2-d88f-4f3d-a555-b260a56558ca|全日空|['HND']|1|2023-09-04 16:50:00|2023-09-05 07:35:00|TSA|HKD|14 小時 45 分鐘|14|45|2023-08-06
e6d85e70-41dc-41f9-8ab2-1cf3e21320b4|長榮航空 + 全日空|['TYO']|1|2023-09-04 08:50:00|2023-09-04 17:55:00|TPE|HKD|9 小時 05 分鐘|9|5|2023-08-06
16821beb-ed6e-4e5f-ab8e-b35aa30a0298|全日空|['KIX', 'CTS']|2|2023-09-04 08:30:00|2023-09-04 17:20:00|TPE|HKD|8 小時 50 分鐘|8|50|2023-08-06
74035899-64a9-4406-baf9-124671f7bce5|全日空|['TYO']|1|2023-09-04 08:50:00|2023-09-04 17:55:00|TPE|HKD|9 小時 05 分鐘|9|5|2023-08-06
acbb7083-fbfc-495d-894d-3764116345aa|長榮航空 + 全日空|['TYO']|1|2023-09-04 08:00:00|2023-09-04 17:55:00|TPE|HKD|9 小時 55 分鐘|9|55|2023-08-06
a0c06924-6b9c-4ce7-b9bd-aacf44382cf7|全日空|['HND']|1|2023-09-04 13:35:00|2023-09-05 08:30:00|TSA|HKD|18 小時|18|0|2023-08-06
fc2bf483-aa95-41ee-b6cb-87486b0c6a0f|全日空|['FUK', 'HND']|2|2023-09-04 08:10:00|2023-09-04 17:55:00|TPE|HKD|9 小時 45 分鐘|9|45|2023-08-06
78d8fb86-9687-49df-afd1-b278f7cdd049|全日空|['TYO']|1|2023-09-04 08:00:00|2023-09-04 17:55:00|TPE|HKD|9 小時 55 分鐘|9|55|2023-08-06
c2a37ba9-f112-40e2-86c7-286c1d7fb1ca|全日空|['HND', 'CTS']|2|2023-09-04 07:20:00|2023-09-04 18:15:00|TSA|HKD|10 小時|10|0|2023-08-06
09e54bb3-6ef6-4272-b1d6-82ac89d046f3|日本航空|['HND']|1|2023-09-04 14:20:00|2023-09-05 07:55:00|TSA|HKD|17 小時 35 分鐘|17|35|2023-08-06
d730d265-7029-4040-b473-3021995e9c43|日本航空|['TYO']|1|2023-09-04 10:00:00|2023-09-05 07:55:00|TPE|HKD|21 小時 55 分鐘|21|55|2023-08-06
69fdb988-5732-4a96-b7e1-73ea07f6e6a6|全日空|['KMQ', 'CTS']|2|2023-09-04 06:35:00|2023-09-04 17:20:00|TPE|HKD|10 小時 45 分鐘|10|45|2023-08-06
0ff57bdc-c861-403f-a131-3f72416417e2|全日空|['HND']|1|2023-09-04 16:50:00|2023-09-05 15:00:00|TSA|HKD|22 小時 10 分鐘|22|10|2023-08-06
3eb751d6-1ec5-46c0-bcb1-952571f59825|全日空 + 日本航空|['OKA', 'HND']|2|2023-09-04 06:45:00|2023-09-04 15:00:00|TPE|HKD|8 小時 15 分鐘|8|15|2023-08-06
2afda189-f152-4268-a4d7-e3c70f06c1f3|中華航空 + 全日空|['HND']|1|2023-09-04 18:05:00|2023-09-05 13:25:00|TSA|HKD|19 小時 20 分鐘|19|20|2023-08-06
a0757a2a-fbde-4f6e-a690-ed9996b7693d|全日空 + 日本航空|['HND']|1|2023-09-04 16:50:00|2023-09-05 07:55:00|TSA|HKD|15 小時 05 分鐘|15|5|2023-08-06
96417ba9-6c8a-4444-a847-287e31eaabdf|全日空 + 日本航空|['TYO']|1|2023-09-04 08:50:00|2023-09-04 18:05:00|TPE|HKD|9 小時 15 分鐘|9|15|2023-08-06
0c99b599-fac0-4880-8f3f-29311215c3f7|全日空|['OKA', 'NGO']|2|2023-09-04 06:45:00|2023-09-04 16:10:00|TPE|HKD|9 小時 25 分鐘|9|25|2023-08-06
d09fba3f-cb61-47e6-a5fc-16d54be854a1|長榮航空 + 全日空|['HND']|1|2023-09-04 16:20:00|2023-09-05 13:25:00|TSA|HKD|21 小時 05 分鐘|21|5|2023-08-06
081ecc29-9c96-40e6-bd82-1e9fac18db25|全日空 + 日本航空|['HND']|1|2023-09-04 07:20:00|2023-09-04 18:05:00|TSA|HKD|10 小時 45 分鐘|10|45|2023-08-06
c7a4f5a6-c051-4718-9cc5-eb79c4549544|長榮航空 + 全日空|['TYO']|1|2023-09-04 15:20:00|2023-09-05 13:25:00|TPE|HKD|22 小時 05 分鐘|22|5|2023-08-06
41bc434a-81cd-4a6a-9f46-754c8cf46513|全日空|['HND', 'CTS']|2|2023-09-04 16:50:00|2023-09-05 10:35:00|TSA|HKD|17 小時 45 分鐘|17|45|2023-08-06
7f631140-4ffc-42de-984a-f954f801618d|中國東方航空 + 全日空|['PVG', 'HND']|2|2023-09-04 18:40:00|2023-09-05 07:35:00|TPE|HKD|12 小時 55 分鐘|12|55|2023-08-06
967ab8de-d940-416d-ab7e-e2cb1c98449f|國泰航空|['HKG', 'TYO']|2|2023-09-04 21:15:00|2023-09-05 18:05:00|TPE|HKD|20 小時 50 分鐘|20|50|2023-08-06
44da9139-cc80-4acf-a489-d4026c89ea94|國泰航空|['HKG', 'TYO']|2|2023-09-04 19:35:00|2023-09-05 18:05:00|TPE|HKD|22 小時 30 分鐘|22|30|2023-08-06
159c967d-d298-4b61-8dd2-ca5bb17bd43f|國泰航空|['HKG', 'TYO']|2|2023-09-04 18:45:00|2023-09-05 18:05:00|TPE|HKD|23 小時 20 分鐘|23|20|2023-08-06
65a9a0a3-e4fb-429f-9a45-66c6c3e50feb|日本航空|['HND']|1|2023-09-04 18:05:00|2023-09-05 07:55:00|TSA|HKD|13 小時 50 分鐘|13|50|2023-08-06
4c4efc80-32ce-4594-ae6c-62d775a8c033|長榮航空 + 日本航空|['TYO']|1|2023-09-04 08:50:00|2023-09-04 18:05:00|TPE|HKD|9 小時 15 分鐘|9|15|2023-08-06
0ff1945e-ded1-44eb-a3ef-cc02d5c3f0ad|日本航空|['HND']|1|2023-09-04 14:20:00|2023-09-05 18:05:00|TSA|HKD|27 小時 45 分鐘|27|45|2023-08-06
dad6d94b-a8c8-4aad-b645-2ba892912407|中華航空 + 全日空|['TYO']|1|2023-09-04 12:40:00|2023-09-05 13:25:00|TPE|HKD|24 小時 45 分鐘|24|45|2023-08-06
d5379d92-b4ad-4e32-9930-bd3bc24afb57|長榮航空 + 日本航空 + 全日空|['KIX', 'CTS']|2|2023-09-04 08:30:00|2023-09-04 17:20:00|TPE|HKD|8 小時 50 分鐘|8|50|2023-08-06
565708a0-6cc6-4b2b-a912-c0d54c269a6b|全日空|['HND']|1|2023-09-04 16:20:00|2023-09-05 07:35:00|TSA|HKD|15 小時 15 分鐘|15|15|2023-08-06
bfa9a9d1-045e-4d01-b648-175498803c82|韓亞航空 + 全日空|['ICN', 'NGO']|2|2023-09-04 17:10:00|2023-09-05 16:25:00|TPE|HKD|23 小時|23|0|2023-08-06
eb72e5cf-f21a-4aac-bbee-f25cd9c65b5b|韓亞航空 + 日本航空|['ICN', 'OSA']|2|2023-09-04 13:30:00|2023-09-05 12:20:00|TPE|HKD|22 小時 50 分鐘|22|50|2023-08-06
97240722-548c-42bf-aac3-5bd4a04d3228|長榮航空 + 全日空|['KIX', 'CTS']|2|2023-09-04 08:30:00|2023-09-04 17:20:00|TPE|HKD|8 小時 50 分鐘|8|50|2023-08-06
3c430be5-e114-40dd-8b0b-2fa2a73f255e|全日空 + 日本航空|['HND']|1|2023-09-04 16:50:00|2023-09-05 13:15:00|TSA|HKD|20 小時 25 分鐘|20|25|2023-08-06
7dfedb58-9f3d-4ef9-ba14-eb832c470093|長榮航空 + 日本航空|['KIX', 'HND']|2|2023-09-04 08:30:00|2023-09-04 18:05:00|TPE|HKD|9 小時 35 分鐘|9|35|2023-08-06
b6420d90-45d6-47c2-9476-1bdf4f8bf658|中華航空 + 日本航空|['HND']|1|2023-09-04 18:05:00|2023-09-05 18:40:00|TSA|HKD|24 小時|24|0|2023-08-06
d8693084-484a-407e-be3e-65037b3a070c|長榮航空 + 全日空 + 日本航空|['KMQ', 'SPK']|2|2023-09-04 06:35:00|2023-09-04 17:25:00|TPE|HKD|10 小時 50 分鐘|10|50|2023-08-06
654a2c30-f855-4608-8b7d-6b2a1fe96ea7|菲律賓航空 + 全日空|['MNL', 'HND']|2|2023-09-04 21:15:00|2023-09-05 17:55:00|TPE|HKD|20 小時 40 分鐘|20|40|2023-08-06
106e5e72-4acd-4360-ab2a-82b1b67e2dbe|長榮航空 + 全日空 + 日本航空|['KIX', 'HND']|2|2023-09-04 08:30:00|2023-09-04 18:05:00|TPE|HKD|9 小時 35 分鐘|9|35|2023-08-06
4a0fcd68-dee1-4855-a0fe-3b2ca719d8f2|長榮航空 + 全日空|['KMQ', 'CTS']|2|2023-09-04 06:35:00|2023-09-04 17:20:00|TPE|HKD|10 小時 45 分鐘|10|45|2023-08-06
af6d870e-69d5-41c0-9e5e-1ff13d8ca238|全日空|['TYO']|1|2023-09-04 15:20:00|2023-09-05 07:35:00|TPE|HKD|16 小時 15 分鐘|16|15|2023-08-06
0c4fc7bd-220a-4008-af8e-28f02f9df519|中國東方航空 + 全日空 + 日本航空|['PVG', 'HND']|2|2023-09-04 18:40:00|2023-09-05 07:55:00|TPE|HKD|13 小時 15 分鐘|13|15|2023-08-06
73b9536f-18ab-4c78-8687-9c430702903c|長榮航空 + 日本航空 + 全日空|['HND', 'CTS']|2|2023-09-04 07:20:00|2023-09-04 17:35:00|TSA|HKD|10 小時|10|0|2023-08-06
a8064f92-60c6-48a6-9bd5-e406855c7a2a|長榮航空 + 全日空|['HND', 'CTS']|2|2023-09-04 07:20:00|2023-09-04 17:35:00|TSA|HKD|10 小時|10|0|2023-08-06
4b4f98c0-d952-4975-b8b8-fd08f68443f8|全日空 + 日本航空|['HND', 'ITM']|2|2023-09-04 13:35:00|2023-09-05 12:20:00|TSA|HKD|22 小時 45 分鐘|22|45|2023-08-06
2cd4c839-327d-402c-963c-0ddf33b551d1|全日空|['FUK', 'HND']|2|2023-09-04 15:10:00|2023-09-05 10:15:00|TPE|HKD|19 小時 05 分鐘|19|5|2023-08-06
f885a0f3-5853-42cc-8071-29b91d032f86|長榮航空 + 日本航空|['HND', 'SPK']|2|2023-09-04 07:20:00|2023-09-04 19:00:00|TSA|HKD|11 小時 40 分鐘|11|40|2023-08-06
